iter	Logloss
0	0.6667752351
1	0.6426041046
2	0.6214366351
3	0.6021844252
4	0.5820652088
5	0.564801759
6	0.5483049593
7	0.5356970075
8	0.5220999219
9	0.5109226849
10	0.4994776746
11	0.4909839536
12	0.4822013573
13	0.4749223836
14	0.46838067
15	0.4623237254
16	0.4563868002
17	0.4496049756
18	0.4434962914
19	0.439149744
20	0.4349009894
21	0.4309613046
22	0.4269922126
23	0.4235093013
24	0.4211398077
25	0.4181548281
26	0.4146193276
27	0.4115330728
28	0.4093182486
29	0.4076039459
30	0.4047216162
31	0.4027998235
32	0.4006207904
33	0.3988019785
34	0.3964805157
35	0.3944741609
36	0.3931989901
37	0.3913492197
38	0.3899498786
39	0.3887436693
40	0.3872487812
41	0.3859045715
42	0.3847432773
43	0.3835746894
44	0.3823687931
45	0.380705391
46	0.3794792452
47	0.378669833
48	0.3771921571
49	0.3762614596
50	0.3752748483
51	0.3740864353
52	0.3727371465
53	0.3718581998
54	0.3710444867
55	0.370051859
56	0.369330618
57	0.3686874647
58	0.3679948067
59	0.3676571461
60	0.366612846
61	0.3656534762
62	0.3647848842
63	0.3638538682
64	0.3629246841
65	0.3620454516
66	0.3615068276
67	0.3605664514
68	0.3598087423
69	0.3590926471
70	0.3583389791
71	0.357742713
72	0.3572268419
73	0.3567948874
74	0.3561883451
75	0.3556363727
76	0.3552022754
77	0.3547201111
78	0.3543960101
79	0.3533522891
80	0.3527490051
81	0.3518491899
82	0.3513643138
83	0.35074889
84	0.3502298674
85	0.3498143906
86	0.3497198913
87	0.3492397642
88	0.3486888854
89	0.348269036
90	0.3478557457
91	0.3475442569
92	0.3472306848
93	0.3464204289
94	0.3459769955
95	0.3455743706
96	0.3452809224
97	0.3448951604
98	0.3447588426
99	0.3442636375
100	0.3435322159
101	0.3430975667
102	0.3425617763
103	0.3420571479
104	0.3413331405
105	0.3407179991
106	0.3403130478
107	0.3399441224
108	0.3395981014
109	0.3391013089
110	0.3387923855
111	0.3386023017
112	0.3383413595
113	0.3379317222
114	0.3379315444
115	0.3376257346
116	0.3370685446
117	0.3365827924
118	0.3360607667
119	0.3353851777
120	0.3351242483
121	0.3346780432
122	0.3343230371
123	0.3339106488
124	0.3337751822
125	0.3334135327
126	0.333072313
127	0.3327500559
128	0.3325275281
129	0.3323012474
130	0.3320701671
131	0.3316748935
132	0.3315279312
133	0.3312257762
134	0.3311519359
135	0.3307713595
136	0.330313033
137	0.3299957837
138	0.3298189791
139	0.3295694973
140	0.3290292221
141	0.328991233
142	0.3286388636
143	0.3286047312
144	0.3283661777
145	0.3283578112
146	0.3279091393
147	0.3273312382
148	0.3268127789
149	0.326673547
150	0.326436224
151	0.3259224599
152	0.3251181572
153	0.3249901126
154	0.3247541063
155	0.3245439459
156	0.3244228692
157	0.3242609481
158	0.324176294
159	0.3240721943
160	0.323804359
161	0.323713634
162	0.3235327309
163	0.3232902536
164	0.3231216452
165	0.3229940125
166	0.3225748649
167	0.3223804785
168	0.3223398496
