iter	MultiClass
0	3.634861978
1	3.462504203
2	3.370412686
3	3.309952307
4	3.275933943
5	3.244482582
6	3.207132305
7	3.186975307
8	3.170268245
9	3.132271503
10	3.127965795
11	3.119622509
12	3.102753993
13	3.094268743
14	3.087707462
15	3.083990315
16	3.071325048
17	3.067029033
18	3.058460424
19	3.054612267
20	3.048718053
21	3.035169474
22	3.031268504
23	3.027853718
24	3.024405494
25	3.010878843
26	2.999576497
27	2.990357629
28	2.989780838
29	2.986859984
30	2.97087291
31	2.968802657
32	2.968737481
33	2.966362868
34	2.958993059
35	2.947345462
36	2.944285264
37	2.937668792
38	2.930415534
39	2.921780021
40	2.915207333
41	2.8982446
42	2.885443439
43	2.879090311
44	2.87415106
45	2.855964523
46	2.846652828
47	2.832157659
48	2.819861915
49	2.807936792
50	2.796023853
51	2.781380831
52	2.770355631
53	2.762533226
54	2.755157234
55	2.738948101
56	2.729851669
57	2.723087313
58	2.715742707
59	2.707878882
60	2.698049175
61	2.690994561
62	2.686693758
63	2.682169783
64	2.676556055
65	2.669947167
66	2.664524797
67	2.654678158
68	2.648459093
69	2.640859415
70	2.636687937
71	2.63404385
72	2.62611476
73	2.622178278
74	2.616959741
75	2.615571417
76	2.608590461
77	2.608150084
78	2.60095169
79	2.594579866
80	2.588411885
81	2.58636995
82	2.579237283
83	2.57448416
84	2.571699917
85	2.564711965
86	2.560523315
87	2.556264657
88	2.550209951
89	2.547205409
90	2.543897294
91	2.54159322
92	2.537707631
93	2.535592739
94	2.53369383
95	2.529543013
96	2.526294809
97	2.524611401
98	2.523840536
99	2.521150489
100	2.51823602
101	2.515517538
102	2.515094071
103	2.509924756
104	2.50778133
105	2.505909466
106	2.500139597
107	2.49723211
108	2.492902532
109	2.491633624
110	2.490267028
111	2.486380154
112	2.483668852
113	2.48143939
114	2.480275248
115	2.478296445
116	2.477197517
117	2.472621156
118	2.470434586
119	2.464719721
120	2.464009555
121	2.463007469
122	2.462388845
123	2.459788329
124	2.45845578
125	2.456009177
126	2.454490479
127	2.450921671
128	2.448984599
129	2.448340365
130	2.446861853
131	2.440375791
132	2.437651796
133	2.435603641
134	2.433693651
135	2.429983525
136	2.429288818
137	2.426496435
138	2.422174453
139	2.419631346
140	2.417995984
141	2.417385953
142	2.416593025
143	2.413444033
144	2.411577338
145	2.407358747
146	2.401271397
147	2.399009787
148	2.395765592
149	2.391907776
150	2.388630201
151	2.383656429
152	2.380968299
153	2.374898904
154	2.373156718
155	2.371558164
156	2.369015497
157	2.366627885
158	2.363053044
159	2.360132757
160	2.357847055
161	2.353658403
162	2.350483794
163	2.348296339
164	2.344088596
165	2.339910554
166	2.337583513
167	2.336562999
168	2.335392531
169	2.333423583
170	2.332060289
171	2.330863681
172	2.328022297
173	2.326981722
174	2.32188346
175	2.316887825
176	2.313574803
177	2.311459567
178	2.308529907
179	2.306861107
180	2.302603986
181	2.299333698
182	2.298003236
183	2.295230264
184	2.292797918
185	2.289864954
186	2.283343297
187	2.279328287
188	2.278427909
189	2.276232067
190	2.273801157
191	2.273218114
192	2.270248413
193	2.266577945
194	2.265760487
195	2.262531604
196	2.26079367
197	2.260030448
198	2.257552425
199	2.256380306
200	2.251841594
201	2.249189589
202	2.247053067
203	2.243670117
204	2.241855372
205	2.23849783
206	2.235215227
207	2.231914967
208	2.230145751
209	2.226983669
210	2.225232877
211	2.223111913
212	2.220945701
213	2.219718788
214	2.218838318
215	2.217520418
216	2.216615592
217	2.213674686
218	2.208921524
219	2.206236762
220	2.20471288
221	2.204134246
222	2.203451558
223	2.201521784
224	2.20067766
225	2.199859605
226	2.197821166
227	2.196594332
228	2.19526211
229	2.194652114
230	2.192782839
231	2.191985448
232	2.190432167
233	2.187041801
234	2.183841566
235	2.181166668
236	2.177249591
237	2.176945587
238	2.174865856
239	2.172908291
240	2.172710942
241	2.16815116
242	2.166685314
243	2.164380997
244	2.162153022
245	2.160398497
246	2.158852191
247	2.1549844
248	2.152542161
249	2.148900053
250	2.146502442
251	2.144550738
252	2.141650422
253	2.138631051
254	2.136900964
255	2.134671289
256	2.131771065
257	2.128552553
258	2.126683303
259	2.122678865
260	2.12021724
261	2.118739055
262	2.117240229
263	2.114891335
264	2.112547183
265	2.112353961
266	2.108720651
267	2.107148263
268	2.102694376
269	2.099218052
270	2.095414331
271	2.093574112
272	2.092565445
273	2.091057057
274	2.088126181
275	2.085819232
276	2.085152664
277	2.084602329
278	2.082843559
279	2.081069299
280	2.078758529
281	2.076987165
282	2.074710531
283	2.074146568
284	2.073443295
285	2.072640334
286	2.071710599
287	2.069197784
288	2.066482275
289	2.065151166
290	2.063605156
291	2.06256497
292	2.061150028
293	2.059877802
294	2.055465382
295	2.054014137
296	2.05250779
297	2.050336322
298	2.049722254
299	2.048721591
